Order_ID,Customer_Name,Email,Product,Category,Quantity,Price,order_date,Region,Payment_Method,Delivery_Status,Discount_Applied,Return_Requested,Customer_Age,City,Phone_Number,Is_First_Order,total_sale
1001,"Sara L",user0@example.com,Headphones,electronics,1,38244,2023-02-23,WEST,"Net banking",Pending,20,Yes,40,Mumbai,9998887776,No,30595.20
1002,"Priya K.",user1@example.com,Mobile,electronics,2,46043,2023-08-29,EAST,Upi,Delivered,0,No,Unknown,Delhi,12345,No,92086.00
1004,"Tom H.",user3@example.com,Charger,electronics,1,7739,2023-08-04,NORTH,Upi,Delivered,20,Yes,Unknown,Mumbai,9876543210,No,6191.20
1005,"Anita S",user4@example.com,Mouse,electronics,3,14989,2022-11-14,SOUTH,"Cash on delivery",Cancelled,10,No,25,NULL,9876543210,No,40470.30
1006,"Sara L",user5@example.com,Tablet,electronics,3,58517,2022-08-24,EAST,"Net banking",Delivered,15,No,21,Mumbai,12345,No,149218.35
1007,"Chris M",user6@example.com,Monitor,electronics,1,62377,2022-11-30,EAST,Upi,Delivered,5,No,Unknown,Delhi,12345,No,59258.15
1011,NULL,user10@example.com,Mouse,electronics,2,37631,2023-08-11,WEST,Upi,Pending,10,No,25,NULL,9998887776,Yes,67735.80
1013,"Anita S",user12@example.com,Keyboard,electronics,3,74463,2023-05-28,SOUTH,"Net banking",Delivered,10,Yes,25,Delhi,9998887776,No,201050.10
1014,"Priya K.",user13@example.com,Monitor,electronics,3,24785,2022-10-23,SOUTH,"Credit card","In Transit",0,Yes,25,Mumbai,9000000000,Yes,74355.00
1018,"Vikram R",user17@example.com,Laptop,electronics,3,19698,2022-08-17,WEST,"Cash on delivery",Delivered,20,No,21,Mumbai,12345,No,47275.20
1019,"Anita S",user18@example.com,Speaker,electronics,3,20258,2022-09-27,NORTH,"Credit card",Delivered,20,Yes,35,NULL,9000000000,Yes,48619.20
1024,"Anita S",user23@example.com,Headphones,electronics,2,78209,2023-01-14,EAST,Upi,Pending,10,Yes,21,Mumbai,9998887776,No,140776.20
1026,"Chris M",user25@example.com,Headphones,electronics,1,54182,2023-02-14,SOUTH,Upi,Cancelled,20,No,30,Mumbai,9000000000,Yes,43345.60
1027,"Vikram R",user26@example.com,Headphones,electronics,1,59994,2023-07-28,SOUTH,"Credit card","In Transit",10,No,Unknown,Bangalore,9876543210,Yes,53994.60
1028,"Emily B",user27@example.com,Monitor,electronics,2,65715,2022-05-12,EAST,Upi,Delivered,10,Yes,45,Chennai,9998887776,No,118287.00
1030,NULL,user29@example.com,Monitor,electronics,2,7449,2022-02-11,SOUTH,Upi,Cancelled,5,Yes,40,Delhi,9998887776,No,14153.10
1038,"Anita S",user37@example.com,Speaker,electronics,3,53913,2023-09-29,EAST,"Credit card",Cancelled,15,No,Unknown,Mumbai,12345,No,137478.15
1039,"Amir Khan",user38@example.com,Speaker,electronics,1,57300,2023-02-26,NORTH,"Credit card",Delivered,5,No,21,Delhi,9000000000,Yes,54435.00
1045,"Priya K.",user44@example.com,Charger,electronics,3,40311,2022-08-13,WEST,Upi,"In Transit",0,No,40,Hyderabad,12345,Yes,120933.00
1047,"Jane Smith",user46@example.com,Monitor,electronics,1,20463,2023-09-08,EAST,"Debit card",Delivered,20,No,Unknown,Bangalore,12345,No,16370.40
1048,"Chris M",user47@example.com,Laptop,electronics,1,55623,2022-04-14,EAST,"Cash on delivery","In Transit",10,No,21,Chennai,9998887776,Yes,50060.70
1050,"Chris M",user49@example.com,Laptop,electronics,1,14888,2022-07-17,WEST,"Net banking",Delivered,5,No,35,NULL,9998887776,Yes,14143.60
1053,"Priya K.",user52@example.com,Tablet,electronics,2,37086,2023-01-26,EAST,"Net banking","In Transit",20,No,45,Delhi,9998887776,No,59337.60
1054,"Sara L",user53@example.com,Speaker,electronics,2,12515,2022-06-28,NORTH,Upi,Delivered,15,No,45,Kolkata,9998887776,Yes,21275.50
1056,"Amir Khan",user55@example.com,Headphones,electronics,1,6754,2023-03-24,EAST,"Net banking",Pending,15,Yes,45,Hyderabad,9998887776,Yes,5740.90
1064,"Vikram R",user63@example.com,Camera,electronics,1,58743,2023-02-24,WEST,"Credit card","In Transit",0,Yes,30,Hyderabad,9876543210,No,58743.00
1072,"Priya K.",user71@example.com,Headphones,electronics,1,57608,2022-07-15,WEST,"Credit card","In Transit",15,Yes,40,Delhi,9876543210,Yes,48966.80
1077,"Anita S",user76@example.com,Mobile,electronics,2,17407,2022-04-28,EAST,"Cash on delivery",Cancelled,5,Yes,Unknown,Kolkata,9998887776,Yes,33073.30
1079,"Anita S",user78@example.com,Mouse,electronics,3,52245,2022-08-16,WEST,"Debit card",Delivered,20,No,40,Chennai,9998887776,No,125388.00
1081,"Chris M",user80@example.com,Speaker,electronics,1,23821,2023-11-27,EAST,"Debit card",Cancelled,20,Yes,35,Kolkata,9876543210,No,19056.80
1082,"Emily B",user81@example.com,Monitor,electronics,2,10988,2022-01-15,SOUTH,"Cash on delivery",Delivered,5,Yes,40,Mumbai,9000000000,No,20877.20
1098,"John Doe",user97@example.com,Mouse,electronics,1,29199,2022-01-11,NORTH,"Net banking",Cancelled,0,No,21,Delhi,12345,No,29199.00
1100,"Anita S",user99@example.com,Headphones,electronics,2,68161,2023-07-04,EAST,"Cash on delivery",Pending,0,Yes,40,Chennai,9998887776,No,136322.00
1105,"Sara L",user104@example.com,Laptop,electronics,2,5626,2022-10-29,EAST,"Debit card",Pending,15,Yes,40,Chennai,12345,No,9564.20
1107,"Tom H.",user106@example.com,Keyboard,electronics,2,18530,2023-01-31,WEST,"Credit card",Cancelled,5,No,25,Chennai,12345,Yes,35207.00
1110,"Sara L",user109@example.com,Headphones,electronics,1,67567,2023-09-08,NORTH,"Credit card",Pending,0,No,40,Hyderabad,9876543210,No,67567.00
1111,"Sara L",user110@example.com,Laptop,electronics,1,35174,2022-07-29,SOUTH,"Cash on delivery",Pending,5,Yes,25,NULL,9998887776,Yes,33415.30
1114,"Amir Khan",user113@example.com,Mouse,electronics,3,74188,2023-11-14,NORTH,"Cash on delivery","In Transit",0,No,35,Mumbai,9998887776,Yes,222564.00
1117,NULL,user116@example.com,Keyboard,electronics,1,1562,2022-11-20,WEST,"Debit card","In Transit",0,Yes,30,Chennai,9000000000,Yes,1562.00
1118,"Amir Khan",user117@example.com,Camera,electronics,1,50948,2022-05-13,EAST,Upi,Delivered,20,Yes,Unknown,Hyderabad,9876543210,No,40758.40
1119,"John Doe",user118@example.com,Laptop,electronics,1,6729,2022-05-07,WEST,"Debit card",Pending,15,Yes,45,Mumbai,9000000000,No,5719.65
1120,"Amir Khan",user119@example.com,Keyboard,electronics,1,57293,2022-04-16,SOUTH,"Debit card",Cancelled,5,Yes,45,Bangalore,12345,No,54428.35
1122,"Amir Khan",user121@example.com,Laptop,electronics,1,5132,2023-01-13,WEST,"Cash on delivery",Delivered,5,No,35,Kolkata,12345,Yes,4875.40
1128,NULL,user127@example.com,Mobile,electronics,3,6871,2023-12-27,EAST,"Cash on delivery","In Transit",5,No,30,Delhi,12345,Yes,19582.35
1129,"Emily B",user128@example.com,Speaker,electronics,1,26569,2023-02-11,SOUTH,"Credit card","In Transit",5,No,Unknown,Bangalore,9000000000,No,25240.55
1131,"Chris M",user130@example.com,Mouse,electronics,2,73979,2023-02-09,WEST,"Cash on delivery",Cancelled,0,Yes,40,Pune,9876543210,Yes,147958.00
1134,"John Doe",user133@example.com,Camera,electronics,1,72774,2023-02-24,SOUTH,"Net banking",Cancelled,10,Yes,21,NULL,9000000000,Yes,65496.60
1135,"Priya K.",user134@example.com,Camera,electronics,3,60504,2022-07-01,EAST,"Credit card",Pending,10,Yes,35,Kolkata,9876543210,No,163360.80
1137,"Anita S",user136@example.com,Mouse,electronics,2,55053,2023-07-21,SOUTH,"Credit card",Pending,0,No,30,Mumbai,9000000000,No,110106.00
1150,"Vikram R",user149@example.com,Tablet,electronics,2,27639,2023-06-21,SOUTH,"Cash on delivery","In Transit",15,Yes,45,Delhi,9000000000,Yes,46986.30
1153,"Chris M",user152@example.com,Mobile,electronics,1,76625,2023-01-21,NORTH,"Credit card",Pending,5,Yes,Unknown,Chennai,12345,Yes,72793.75
1155,"Emily B",user154@example.com,Camera,electronics,1,27946,2023-04-20,EAST,"Net banking",Cancelled,5,Yes,30,NULL,12345,Yes,26548.70
1159,"Emily B",user158@example.com,Monitor,electronics,2,76823,2023-10-02,SOUTH,"Cash on delivery",Pending,5,No,25,Bangalore,9000000000,No,145963.70
1165,"Sara L",user164@example.com,Mobile,electronics,2,617,2023-12-11,SOUTH,"Debit card",Pending,15,Yes,21,Bangalore,9000000000,No,1048.90
1166,"Vikram R",user165@example.com,Mobile,electronics,1,13734,2023-05-16,SOUTH,"Credit card","In Transit",20,No,45,NULL,9998887776,No,10987.20
1168,NULL,user167@example.com,Mouse,electronics,3,1346,2022-06-26,NORTH,"Net banking",Pending,20,Yes,Unknown,Hyderabad,12345,No,3230.40
1175,NULL,user174@example.com,Mouse,electronics,1,64823,2022-02-18,SOUTH,"Debit card","In Transit",20,Yes,Unknown,Kolkata,9000000000,Yes,51858.40
1176,"Vikram R",user175@example.com,Laptop,electronics,1,58567,2022-03-25,SOUTH,Upi,Cancelled,20,Yes,Unknown,Hyderabad,9998887776,No,46853.60
1177,"Tom H.",user176@example.com,Monitor,electronics,3,49876,2022-12-27,NORTH,"Debit card",Cancelled,10,No,21,Chennai,9000000000,No,134665.20
1179,"Priya K.",user178@example.com,Mouse,electronics,2,37476,2022-05-28,NORTH,"Debit card",Delivered,5,No,40,Kolkata,9876543210,Yes,71204.40
1182,"Chris M",user181@example.com,Laptop,electronics,3,43033,2023-04-21,EAST,"Debit card",Delivered,10,Yes,35,Pune,9998887776,No,116189.10
1187,"John Doe",user186@example.com,Monitor,electronics,2,47862,2022-11-23,NORTH,"Credit card",Cancelled,10,No,21,Chennai,9998887776,Yes,86151.60
1191,"John Doe",user190@example.com,Tablet,electronics,2,10365,2023-12-24,NORTH,"Credit card",Pending,10,Yes,Unknown,Hyderabad,9876543210,No,18657.00
1192,NULL,user191@example.com,Camera,electronics,1,2719,2022-11-14,NORTH,"Cash on delivery",Cancelled,20,No,30,Kolkata,12345,No,2175.20
1193,"John Doe",user192@example.com,Monitor,electronics,2,40309,2022-02-01,SOUTH,Upi,Pending,20,No,40,Chennai,9876543210,No,64494.40
1195,"Jane Smith",user194@example.com,Charger,electronics,3,34887,2022-10-12,WEST,Upi,Pending,0,Yes,45,Pune,12345,Yes,104661.00
1196,"Vikram R",user195@example.com,Headphones,electronics,1,9012,2022-11-01,SOUTH,"Debit card",Pending,15,Yes,45,Mumbai,9000000000,Yes,7660.20
1199,"John Doe",user198@example.com,Headphones,electronics,2,19716,2022-10-13,WEST,Upi,Delivered,20,No,35,Delhi,9000000000,Yes,31545.60
